"Package","Version"
"abind","1.4-5"
"askpass","1.2.1"
"backports","1.5.0"
"base","4.4.0"
"base64enc","0.1-3"
"BBmisc","1.13"
"bbotk","1.5.0"
"BH","1.84.0-0"
"biglm","0.9-2.1"
"Biobase","2.64.0"
"BiocGenerics","0.50.0"
"BiocManager","1.30.23"
"BiocParallel","1.38.0"
"BiocVersion","3.19.1"
"bit","4.5.0.1"
"bit64","4.5.2"
"bitops","1.0-7"
"boot","1.3-30"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.7"
"bslib","0.7.0"
"cachem","1.1.0"
"callr","3.7.6"
"Cardinal","3.6.0"
"CardinalIO","1.2.0"
"caret","6.0-94"
"cellranger","1.1.0"
"checkmate","2.3.2"
"class","7.3-22"
"cli","3.6.2"
"clipr","0.8.0"
"clock","0.7.1"
"cluster","2.1.6"
"codetools","0.2-20"
"colorspace","2.1-1"
"commonmark","1.9.2"
"compiler","4.4.0"
"cpp11","0.4.7"
"crayon","1.5.3"
"credentials","2.0.2"
"curl","6.0.1"
"DALEX","2.4.3"
"data.table","1.16.4"
"datasets","4.4.0"
"DBI","1.2.3"
"desc","1.4.3"
"devtools","2.4.5"
"diagram","1.6.5"
"diffobj","0.3.5"
"digest","0.6.35"
"downlit","0.4.4"
"dplyr","1.1.4"
"e1071","1.7-16"
"EBImage","4.46.0"
"ellipsis","0.3.2"
"evaluate","1.0.1"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"fastmatch","1.1-4"
"fftwtools","0.9-11"
"fontawesome","0.5.2"
"foreach","1.5.2"
"foreign","0.8-87"
"formatR","1.14"
"fs","1.6.4"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.34.0"
"future.apply","1.11.3"
"generics","0.1.3"
"gert","2.1.4"
"ggplot2","3.5.1"
"gh","1.4.1"
"gitcreds","0.1.2"
"globals","0.16.3"
"glue","1.7.0"
"gower","1.0.2"
"graphics","4.4.0"
"grDevices","4.4.0"
"grid","4.4.0"
"gridExtra","2.3"
"gtable","0.3.6"
"hardhat","1.4.0"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr2","1.0.7"
"iBreakDown","2.1.2"
"ingredients","2.3.0"
"ini","0.3.1"
"ipred","0.9-15"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"KernSmooth","2.23-24"
"knitr","1.48"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.1"
"lattice","0.22-6"
"lava","1.8.0"
"lgr","0.4.4"
"lifecycle","1.0.4"
"listenv","0.9.1"
"locfit","1.5-9.9"
"lubridate","1.9.4"
"magrittr","2.0.3"
"MASS","7.3-61"
"Matrix","1.7-0"
"matter","2.6.0"
"memoise","2.0.1"
"methods","4.4.0"
"mgcv","1.9-1"
"mime","0.12"
"miniUI","0.1.1.1"
"mlbench","2.1-5"
"mlr3","0.16.1"
"mlr3hyperband","0.4.5"
"mlr3learners","0.5.6"
"mlr3measures","0.5.0"
"mlr3misc","0.16.0"
"mlr3tuning","0.19.0"
"mltools","0.3.5"
"ModelMetrics","1.2.2.2"
"munsell","0.5.1"
"nlme","3.1-164"
"nnet","7.3-19"
"numDeriv","2016.8-1.1"
"ontologyIndex","2.12"
"openssl","2.3.0"
"palmerpenguins","0.1.1"
"paradox","0.11.1"
"parallel","4.4.0"
"parallelly","1.41.0"
"parallelMap","1.5.1"
"ParamHelpers","1.14.1"
"pillar","1.10.0"
"pkgbuild","1.4.5"
"pkgconfig","2.0.3"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plyr","1.8.9"
"png","0.1-8"
"praise","1.0.0"
"prettyunits","1.2.0"
"pROC","1.18.5"
"processx","3.8.4"
"prodlim","2024.06.25"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.15.1"
"promises","1.3.2"
"ProtGenerics","1.36.0"
"proxy","0.4-27"
"PRROC","1.3.1"
"ps","1.8.1"
"purrr","1.0.2"
"R6","2.5.1"
"ragg","1.3.3"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.13-1"
"RCurl","1.98-1.14"
"readr","2.1.5"
"readxl","1.4.3"
"recipes","1.1.0"
"rematch","2.0.0"
"remotes","2.5.0"
"reshape2","1.4.4"
"rlang","1.1.3"
"rmarkdown","2.27"
"roxygen2","7.3.2"
"rpart","4.1.23"
"rprojroot","2.0.4"
"rstudioapi","0.17.1"
"rversions","2.1.2"
"S4Vectors","0.42.0"
"sass","0.4.9"
"scales","1.3.0"
"sessioninfo","1.2.2"
"shape","1.4.6.1"
"shiny","1.10.0"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"spatial","7.3-17"
"splines","4.4.0"
"SQUAREM","2021.1"
"stats","4.4.0"
"stats4","4.4.0"
"stringi","1.8.4"
"stringr","1.5.1"
"survival","3.7-0"
"sys","3.4.3"
"systemfonts","1.1.0"
"tcltk","4.4.0"
"testthat","3.2.2"
"textshaping","0.4.1"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tiff","0.1-12"
"timechange","0.3.0"
"timeDate","4041.110"
"tinytex","0.51"
"tools","4.4.0"
"translations","4.4.0"
"tzdb","0.4.0"
"urlchecker","1.0.1"
"usethis","3.1.0"
"utf8","1.2.4"
"utils","4.4.0"
"uuid","1.2-1"
"vctrs","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.6.1"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.45"
"xgboost","1.7.8.1"
"XML","3.99-0.17"
"xml2","1.3.6"
"xopen","1.0.1"
"xtable","1.8-4"
"yaml","2.3.9"
"zip","2.3.1"
